endTime,artistName,trackName,msPlayed
2023-11-16 12:14,Pearl Jam,Corduroy - Remastered,277586
2023-11-16 13:06,David Bowie,Dancing in the Street - 2002 Remaster,1367
2023-11-17 06:54,Dire Straits,So Far Away,66858
2023-11-17 06:54,Grateful Dead,Dark Star - Single Version; 2001 Remaster,17046
2023-11-17 06:55,Zucchero,Pronto,1079
2023-11-17 06:55,Zucchero,Diamante,730
2023-11-17 06:55,Zucchero,L'Amore E' nell'Aria,1689
2023-11-17 06:55,Buffalo Springfield,Mr. Soul,29465
2023-11-17 06:55,Zucchero,Troppa Fedelta',3158
2023-11-17 06:55,Zucchero,Quanti Anni Ho,23
2023-11-17 06:55,Zucchero,Occhi,15710
2023-11-17 06:55,Zucchero,Flying Away (Occhi),1514
2023-11-17 07:03,Zucchero,Senza Una Donna,267333
2023-11-17 07:14,Michael Jackson,We Are The World - Live,24923
2023-11-17 12:23,Anouar Brahem,Astrakan Café - 1,14880
2023-11-18 06:23,Paolo Fresu Quintet,Peace,31973
2023-11-18 06:28,René Aubry,La grande cascade,268132
2023-11-18 06:30,René Aubry,"The Desert, Pt. 2",125386
2023-11-18 06:31,René Aubry,The Rocket Take Off,71089
2023-11-18 06:33,René Aubry,The Woman and the Tree,132826
2023-11-18 06:36,René Aubry,Rasta La Vista,160465
2023-11-18 06:42,René Aubry,Salento,345200
2023-11-18 06:44,René Aubry,"The Desert, Pt. 1",147613
2023-11-18 06:47,René Aubry,Fil de verre,187465
2023-11-18 06:48,René Aubry,Opening,39262
2023-11-18 06:49,René Aubry,The Deep Dark Wood,64000
2023-11-18 06:51,René Aubry,Le vent,129732
2023-11-18 06:55,René Aubry,I Feel Good,208147
2023-11-18 07:00,René Aubry,Séduction,281666
2023-11-18 07:03,René Aubry,Guitare bambou,171460
2023-11-18 07:07,René Aubry,Replay,250213
2023-11-18 07:08,René Aubry,Wandering,71209
2023-11-18 07:10,René Aubry,Zog,119119
2023-11-18 07:12,René Aubry,This Is the Sky,113160
2023-11-18 07:15,René Aubry,Looking for Stick Man,142009
2023-11-18 07:16,René Aubry,Children on the Bridge,80923
2023-11-18 07:18,René Aubry,Piccola Pioggia,105411
2023-11-18 07:20,René Aubry,Footprints,52000
2023-11-18 07:21,René Aubry,The Green Bird,93361
2023-11-18 07:23,René Aubry,In the Oceon,108350
2023-11-18 07:24,René Aubry,Lurglestrop,65639
2023-11-18 07:27,René Aubry,Water Falls,137000
2023-11-18 07:27,René Aubry,Ocean Storm,38962
2023-11-18 07:29,René Aubry,Thank You,101328
2023-11-18 07:33,René Aubry,The Lake,173120
2023-11-18 07:46,René Aubry,The Gruffalo's Child,58625
2023-11-18 10:48,Joachim Kühn,Dahin,18645
2023-11-19 06:36,Anouar Brahem,The Lover Of Beirut,464453
2023-11-19 06:38,Nils Frahm,Because This Must Be,165557
2023-11-19 06:44,René Aubry,Salento,345200
2023-11-19 06:46,Yann Tiersen,La valse d'Amélie,135906
2023-11-19 06:50,Anouar Brahem,Astrakan Café - 1,195640
2023-11-19 06:52,René Aubry,"The Desert, Pt. 2",125386
2023-11-19 06:56,Yann Tiersen,Dispute,254813
2023-11-19 06:59,René Aubry,Le vent,129732
2023-11-19 07:04,René Aubry,I Feel Good,208147
2023-11-19 07:06,Anouar Brahem,Halfaouine,126853
2023-11-19 07:07,Yann Tiersen,L'autre valse d'Amélie,93400
2023-11-19 07:16,Anouar Brahem,Le pas du chat noir,481506
2023-11-19 07:23,Anouar Brahem,Leila au pays du carrousel,397000
2023-11-19 07:27,The Yardbirds,Over Under Sideways Down (Stereo Version) - Remastered,2582
2023-11-19 07:27,René Aubry,La grande cascade,235169
2023-11-19 07:27,Traffic,Medicated Goo,1221
2023-11-19 07:27,Paul McCartney,Nineteen Hundred And Eighty Five - 2010 Remaster,2289
2023-11-19 07:31,Derek & The Dominos,I Looked Away,184560
2023-11-19 07:35,Traffic,Light Up Or Leave Me Alone,288093
2023-11-19 07:51,Faces,Debris,13151
2023-11-19 08:38,The Rolling Stones,Angry,226735
2023-11-19 08:40,The Rolling Stones,Sweet Sounds Of Heaven (feat. Lady Gaga),153763
2023-11-19 08:40,The Rolling Stones,Depending On You,1905
2023-11-19 08:40,The Rolling Stones,Miss You - Remastered,3234
2023-11-19 08:44,The Rolling Stones,Mess It Up,243687
2023-11-19 08:55,The Rolling Stones,Driving Me Too Hard,4623
2023-11-20 06:12,Small Faces,You Need Loving,237293
2023-11-20 06:16,Jethro Tull,A Song for Jeffrey - Mono,204640
2023-11-20 06:19,Cream,World Of Pain,182453
2023-11-20 06:31,Cream,Strange Brew,84610
2023-11-20 06:57,Cream,Strange Brew,889
2023-11-20 06:58,Cream,Tales Of Brave Ulysses,1655
2023-11-20 06:58,Big Brother & The Holding Company,Combination of the Two,924
2023-11-20 07:01,Cream,Badge,164706
2023-11-20 07:13,Cream,Outside Woman Blues,127294
2023-11-21 06:10,"Blood, Sweat & Tears","Variation on a Theme by Erik Satie (1st Movement - Adapted from ""Trois Gymnopedies"")",99893
2023-11-21 06:14,Erik Satie,"3 Gymnopédies: No. 1, Lent et douloureux",190560
2023-11-21 06:15,London Symphony Orchestra,"Boléro, M. 81",70287
2023-11-21 06:20,Bill Frisell,Coffaro's Theme,267466
2023-11-21 06:26,Richard Wagner,"Die Walkure, Act III: Ride of the Valkyries",325000
2023-11-21 06:28,Erik Satie,3 Gymnopédies: Gymnopedie No. 1,159333
2023-11-21 06:32,Zakir Hussain,Water Girl,234573
2023-11-21 06:37,Aram Khachaturian,Gayane Suite No. 3: IV. Gayane's Adagio,296373
2023-11-21 06:49,Philip Glass,The Grid,63787
2023-11-22 06:12,Joachim Kühn,Dahin,258546
2023-11-22 06:21,Joachim Kühn,Good Mood,535426
2023-11-22 06:24,Joachim Kühn,Dounia,182520
2023-11-22 06:28,Joachim Kühn,Peace Piece,194866
2023-11-22 06:36,Joachim Kühn,White Widow,498386
2023-11-22 06:41,Joachim Kühn,Rabih's Delight,288773
2023-11-22 06:54,Joachim Kühn,Kalimba Call,112862
2023-11-22 07:23,John McLaughlin,The Way of the Pilgrim,3662
2023-11-22 07:33,The Rolling Stones,Mess It Up,6039
2023-11-23 06:10,Yusef Lateef,Psychicemotus,304133
2023-11-23 06:18,Herbie Hancock,Watermelon Man - Remastered,429266
2023-11-23 06:25,The Dave Brubeck Quartet,Blue Rondo à la Turk,403640
2023-11-23 06:26,Alice Coltrane,Turiya & Ramakrishna,116
2023-11-23 06:31,Yusef Lateef,The Plum Blossom - Rudy Van Gelder Remaster,295066
2023-11-23 06:39,Yusef Lateef,Like It Is - Remastered,452533
2023-11-23 06:45,Miles Davis Quintet,It Never Entered My Mind,323186
2023-11-23 06:56,Yusef Lateef,Buddy and Lou,32199
2023-11-23 07:11,Yusef Lateef,Buddy and Lou,160277
2023-11-23 07:15,Charlie Parker,Summertime,167121
2023-11-23 07:18,Yusef Lateef,Bishop School,185440
2023-11-23 07:25,Yusef Lateef,Nubian Lady - 1972,398533
2023-11-23 07:32,Mulatu Astatke,Tezeta,368539
2023-11-23 07:37,Yusef Lateef,Eastern Market,259400
2023-11-23 07:41,Mulatu Astatke,Yèkèrmo Sèw,253386
2023-11-23 07:47,Yusef Lateef,Othelia - Remastered,275600
2023-11-23 07:53,Hank Mobley,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,369386
2023-11-23 08:00,Yusef Lateef,Blues For The Orient - Rudy Van Gelder Remaster,334813
2023-11-23 08:04,Yusef Lateef,Bamboo Flute Blues,239360
2023-11-23 08:15,Yusef Lateef,Michelle,21509
2023-11-23 16:42,Yusef Lateef,Michelle,83313
2023-11-23 16:55,Yusef Lateef,Like It Is - Remastered,190447
2023-11-24 06:09,Jerry Garcia,Shady Grove,259533
2023-11-24 06:13,War,Spill the Wine,246333
2023-11-24 06:16,Morphine,Cure for Pain,194093
2023-11-24 06:20,Uncle Tupelo,Sandusky,223640
2023-11-24 06:25,Traffic,Here Comes A Man,308800
2023-11-24 06:27,The Peanut Butter Conspiracy,Flight of the Psychedelic Bumble Bee,122666
2023-11-24 06:32,The Black Crowes,Sting Me,280133
2023-11-24 06:36,Jimi Hendrix,"Killing Floor - Live at The Hollywood Bowl, Hollywood, CA - August 18, 1967",223616
2023-11-24 06:43,The Black Crowes,Sometimes Salvation,284000
2023-11-24 06:59,Mick Jagger,I've Been Lonely For So Long,209160
2023-11-24 07:11,Béla Fleck and the Flecktones,The Sinister Minister,2577
2023-11-24 11:57,Béla Fleck and the Flecktones,The Sinister Minister,274567
2023-11-24 12:00,Mick Jagger,Think,179053
2023-11-24 12:05,Mick Jagger,Wandering Spirit,258933
2023-11-24 12:12,Traffic,Nowhere Is Their Freedom,420426
