artist,track
Jefferson Airplane,White Rabbit
The Byrds,Eight Miles High
"Crosby, Stills, Nash & Young",Ohio
Grateful Dead,Sugar Magnolia - 2013 Remaster
Grateful Dead,Alabama Getaway - 2013 Remaster
Grateful Dead,Terrapin Station Medley - 2014 Remaster
CAN,I'm so Green
Jim Morrison,Ghost Song
CAN,Dizzy Dizzy
Dissidenten,Shadows Go Arab
Dissidenten,Broken Moon (30 Trillion & Mix)
Dissidenten,Shake the Sheikh
Tom Petty and the Heartbreakers,American Girl
Led Zeppelin,Ramble On - 1990 Remaster
Talking Heads,Radio Head - 2005 Remaster
Talking Heads,What a Day That Was - Live; Edit
Talking Heads,The Good Thing - 2005 Remaster
Free,Songs Of Yesterday
Miles Davis Quintet,Easy Living
Sun Ra,"Take the 'A' Train - Solo Piano, 1977"
Vangelis,The Tao Of Love
CAN,Thief
The First Edition,Just Dropped In (To See What Condition My Condition Was In)
Buffalo Springfield,Mr. Soul
Talking Heads,Moon Rocks - 2005 Remaster
Hamid Baroudi,Song for Boudiaf
Talking Heads,Crosseyed and Painless - 2005 Remaster
Talking Heads,The Big Country - 2005 Remaster
Vangelis,Alpha
The Beatles,You've Got To Hide Your Love Away - Remastered 2009
The Beatles,Ticket To Ride - Remastered 2009
The Beatles,Till There Was You - Remastered 2009
The Beatles,I've Just Seen A Face - Remastered 2009
The Beatles,In My Life - Remastered 2009
The Beatles,"Here, There And Everywhere - Remastered 2009"
The Rolling Stones,Wild Horses - 2009 Mix
The Rolling Stones,Love Is Strong - Remastered 2009
The Rolling Stones,Jumpin' Jack Flash
The Rolling Stones,You Can't Always Get What You Want
The Rolling Stones,She's A Rainbow
The Rolling Stones,Mother's Little Helper
The Rolling Stones,Anybody Seen My Baby? - Remastered 2009
The Rolling Stones,Loving Cup
The Rolling Stones,Angie - Remastered 2009
B.B. King,Paying The Cost To Be The Boss
The Rolling Stones,Ventilator Blues
The Rolling Stones,Dead Flowers - 2009 Mix
The Rolling Stones,Route 66
The Rolling Stones,Street Fighting Man - 50th Anniversary Edition
The Rolling Stones,Miss You - Remastered
The Rolling Stones,Let's Spend The Night Together
