,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.487,0.93,0,-7.3,1,0.0632,0.00241,2.82e-05,0.0841,0.134,131.304,audio_features,5F6rwEF15hN1jnhNk2YQHn,spotify:track:5F6rwEF15hN1jnhNk2YQHn,https://api.spotify.com/v1/tracks/5F6rwEF15hN1jnhNk2YQHn,https://api.spotify.com/v1/audio-analysis/5F6rwEF15hN1jnhNk2YQHn,277587,4,Corduroy - Remastered,Pearl Jam,277586,2023-11-16 12:14:00
0,0.6,0.816,4,-13.64,1,0.0431,0.117,0.0,0.126,0.744,130.99,audio_features,6FnuMo55jNECTDdS1nD5H0,spotify:track:6FnuMo55jNECTDdS1nD5H0,https://api.spotify.com/v1/tracks/6FnuMo55jNECTDdS1nD5H0,https://api.spotify.com/v1/audio-analysis/6FnuMo55jNECTDdS1nD5H0,204787,4,Dancing in the Street - 2002 Remaster,David Bowie,1367,2023-11-16 13:06:00
0,0.701,0.656,4,-6.593,1,0.0265,0.245,0.164,0.0627,0.665,114.425,audio_features,33EAXRL27QIjSVA5x6zEMq,spotify:track:33EAXRL27QIjSVA5x6zEMq,https://api.spotify.com/v1/tracks/33EAXRL27QIjSVA5x6zEMq,https://api.spotify.com/v1/audio-analysis/33EAXRL27QIjSVA5x6zEMq,312267,4,So Far Away,Dire Straits,66858,2023-11-17 06:54:00
0,0.434,0.16,2,-13.856,1,0.0346,0.906,0.244,0.172,0.376,95.525,audio_features,0BBcbPbTWW8MaLKIDHtsAi,spotify:track:0BBcbPbTWW8MaLKIDHtsAi,https://api.spotify.com/v1/tracks/0BBcbPbTWW8MaLKIDHtsAi,https://api.spotify.com/v1/audio-analysis/0BBcbPbTWW8MaLKIDHtsAi,163280,4,Dark Star - Single Version; 2001 Remaster,Grateful Dead,17046,2023-11-17 06:54:00
0,0.708,0.977,0,-2.854,1,0.138,0.0269,0.0,0.528,0.947,136.075,audio_features,5X5aCYKteP4UNwHF5TrVNU,spotify:track:5X5aCYKteP4UNwHF5TrVNU,https://api.spotify.com/v1/tracks/5X5aCYKteP4UNwHF5TrVNU,https://api.spotify.com/v1/audio-analysis/5X5aCYKteP4UNwHF5TrVNU,208640,4,Pronto,Zucchero,1079,2023-11-17 06:55:00
0,0.645,0.289,5,-17.675,1,0.029,0.386,0.00157,0.0854,0.47,111.035,audio_features,6fLutWYQE6b4hi4evACwwa,spotify:track:6fLutWYQE6b4hi4evACwwa,https://api.spotify.com/v1/tracks/6fLutWYQE6b4hi4evACwwa,https://api.spotify.com/v1/audio-analysis/6fLutWYQE6b4hi4evACwwa,345067,4,Diamante,Zucchero,730,2023-11-17 06:55:00
0,0.413,0.669,4,-5.172,0,0.0289,0.267,0.0,0.105,0.235,155.977,audio_features,1JqAqkBkMP6DHxYH8hkxlR,spotify:track:1JqAqkBkMP6DHxYH8hkxlR,https://api.spotify.com/v1/tracks/1JqAqkBkMP6DHxYH8hkxlR,https://api.spotify.com/v1/audio-analysis/1JqAqkBkMP6DHxYH8hkxlR,217000,4,L'Amore E' nell'Aria,Zucchero,1689,2023-11-17 06:55:00
0,0.674,0.706,9,-9.012,1,0.0384,0.108,6.48e-06,0.114,0.961,133.789,audio_features,042v1NacbKJzCyi6nBme7T,spotify:track:042v1NacbKJzCyi6nBme7T,https://api.spotify.com/v1/tracks/042v1NacbKJzCyi6nBme7T,https://api.spotify.com/v1/audio-analysis/042v1NacbKJzCyi6nBme7T,172400,4,Mr. Soul,Buffalo Springfield,29465,2023-11-17 06:55:00
0,0.562,0.644,9,-3.775,1,0.0241,0.0451,0.0,0.0983,0.165,95.047,audio_features,4hZtstrYn4OVsfCG6Y7TEw,spotify:track:4hZtstrYn4OVsfCG6Y7TEw,https://api.spotify.com/v1/tracks/4hZtstrYn4OVsfCG6Y7TEw,https://api.spotify.com/v1/audio-analysis/4hZtstrYn4OVsfCG6Y7TEw,241653,4,Troppa Fedelta',Zucchero,3158,2023-11-17 06:55:00
0,0.379,0.566,7,-3.419,1,0.0291,0.0537,0.0,0.103,0.162,73.106,audio_features,17j7Wj2jwgSK2lPIS3Muy3,spotify:track:17j7Wj2jwgSK2lPIS3Muy3,https://api.spotify.com/v1/tracks/17j7Wj2jwgSK2lPIS3Muy3,https://api.spotify.com/v1/audio-analysis/17j7Wj2jwgSK2lPIS3Muy3,242547,4,Quanti Anni Ho,Zucchero,23,2023-11-17 06:55:00
